time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/clip_range,train/policy_gradient_loss,train/std,train/explained_variance,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/n_updates,train/approx_kl
160,1,4096,25,,,,,,,,,,,
320,2,8192,25,0.2,0.010496571070689242,1.0910611152648926,5.412101745605469e-05,0.8254039287567139,6.153879017755389,0.196875,0.0003,-5.902721871435642,10,0.03098876
480,3,12288,25,0.2,0.003977308729372453,1.1661430597305298,-0.000164031982421875,6.564935207366943,12.278028076142073,0.059716796875,0.0003,-6.147270594537258,20,0.016502894
644,4,16384,25,0.2,0.003705326744238846,1.2552905082702637,-1.3113021850585938e-06,9.064798355102539,17.633800678700208,0.0757568359375,0.0003,-6.431982554495335,30,0.01923176
806,5,20480,25,0.2,0.0009683971395133995,1.338803768157959,-0.008730053901672363,10.76762580871582,24.927396748960017,0.0933837890625,0.0003,-6.717587848007679,40,0.019086406
