time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/clip_fraction,train/loss,train/std,train/approx_kl,train/entropy_loss,train/clip_range,train/learning_rate,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/value_loss
1,159,4096,25,,,,,,,,,,,
2,322,8192,25,0.26025390625,11.446196556091309,1.1323745250701904,0.057766106,-5.9466597892344,0.2,0.0003,-5.602836608886719e-06,10,0.00823465077774017,73.45207497924567
3,482,12288,25,0.028125,51.31328582763672,1.1936415433883667,0.015077889,-6.229176013916731,0.2,0.0003,7.998943328857422e-05,20,-0.0005582785030128435,107.7808169066906
4,639,16384,25,0.053759765625,68.16736602783203,1.2626398801803589,0.015134573,-6.464693153649568,0.2,0.0003,0.00024306774139404297,30,0.0010168161854380742,123.33358669877052
5,799,20480,25,0.060791015625,98.7764663696289,1.3566091060638428,0.01945182,-6.724001222103834,0.2,0.0003,-3.814697265625e-06,40,0.001244947293162113,143.99094215631484
