time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/std,train/entropy_loss,train/clip_range,train/loss,train/clip_fraction
4096,26,156,1,,,,,,,,,,,
8192,25,316,2,10,0.01118683887689258,5.326370653696358,0.0003,0.031247348,0.00023567676544189453,1.0923922061920166,-5.914297944307327,0.2,-0.2671480178833008,0.205810546875
12288,25,475,3,20,0.0031330783342127686,10.94607215821743,0.0003,0.022677086,0.0004254579544067383,1.1805686950683594,-6.181630627810955,0.2,2.0598487854003906,0.1022216796875
16384,25,636,4,30,0.004314173221064266,16.34615429639816,0.0003,0.01644638,0.00015461444854736328,1.261786699295044,-6.466471865028143,0.2,6.443504810333252,0.0561279296875
20480,25,796,5,40,0.003508165718812961,22.378447417914867,0.0003,0.013661494,-1.52587890625e-05,1.3410310745239258,-6.724347670376301,0.2,11.880515098571777,0.049755859375
