time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/value_loss,train/clip_range
2048,1,26,78,,,,,,,,,,,
4096,2,24,166,-5.725392526388168,0.0038696905,5.245208740234375e-05,0.00125211363483686,1.0189229249954224,0.0003,0.0373046875,2.2800800800323486,10,8.37409936375916,0.2
6144,3,24,253,-5.781443440914154,0.008994488,0.0003923773765563965,-0.002826284033653792,1.036985158920288,0.0003,0.04501953125,5.714645862579346,20,16.429605999961495,0.2
8192,4,24,339,-5.847959990799427,0.003150383,-0.0002799034118652344,-0.0005241413047770039,1.0570780038833618,0.0003,0.025927734375,5.06184720993042,30,22.750863233953716,0.2
10240,5,23,427,-5.933995456248522,0.0039851638,0.0,-0.0010981571846059523,1.080049753189087,0.0003,0.04189453125,14.072046279907227,40,28.055848886817692,0.2
12288,6,23,513,-6.020457389950752,0.0029187223,0.001146078109741211,-0.00044081268133595587,1.0986039638519287,0.0003,0.036328125,22.355146408081055,50,39.88058984875679,0.2
14336,7,23,599,-6.106152255088091,0.0075982576,5.245208740234375e-06,0.00018090287776431068,1.1231406927108765,0.0003,0.045751953125,16.206573486328125,60,38.325915195047855,0.2
16384,8,23,686,-6.166479873657226,0.003421573,-0.0008604526519775391,-0.00039582278404850515,1.1399304866790771,0.0003,0.025341796875,6.020040035247803,70,42.12297002375126,0.2
18432,9,23,776,-6.238819918781519,0.0067417324,-0.028635621070861816,-0.0023472234461223707,1.1625449657440186,0.0003,0.0732421875,41.86521530151367,80,52.40453789383173,0.2
20480,10,23,861,-6.32485910654068,0.005491259,-0.025571346282958984,-0.0010850609454791994,1.1895228624343872,0.0003,0.04541015625,30.62493324279785,90,53.75201243758202,0.2
