time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/clip_fraction,train/loss,train/std,train/approx_kl,train/entropy_loss,train/clip_range,train/learning_rate,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/value_loss
1,157,4096,26,,,,,,,,,,,
2,313,8192,26,0.2035888671875,20.13368034362793,1.110595941543579,0.039230138,-5.906817165017128,0.2,0.0003,8.755922317504883e-05,10,0.010813193347712514,74.00448538213968
3,476,12288,25,0.014306640625,31.051101684570312,1.1634137630462646,0.008752881,-6.137586255371571,0.2,0.0003,3.355741500854492e-05,20,-7.981645467225462e-06,109.73888878524303
4,634,16384,25,0.04853515625,62.6389045715332,1.2415249347686768,0.016195834,-6.377875643968582,0.2,0.0003,5.364418029785156e-07,30,0.0023114278781577015,124.52992537617683
5,792,20480,25,0.059716796875,57.044254302978516,1.3188506364822388,0.0150121115,-6.6443912900984285,0.2,0.0003,0.0003266334533691406,40,0.0022210869021364486,146.02330679893493
