time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/value_loss
1,151,26,4096,,,,,,,,,,,
2,313,26,8192,0.2,0.032478306,0.0003,-0.00018215179443359375,10,1.1002728939056396,0.9464844465255737,-5.92532681748271,0.010702227354340722,0.215283203125,6.431374815478921
3,476,25,12288,0.2,0.023013268,0.0003,-7.855892181396484e-05,20,1.187717080116272,6.079409599304199,-6.197829588502645,0.0015985045916750095,0.0958740234375,12.660652305930853
4,636,25,16384,0.2,0.01767165,0.0003,0.00030112266540527344,30,1.2665917873382568,9.111424446105957,-6.488256428390741,0.0025395018499693835,0.080126953125,19.42754766345024
5,798,25,20480,0.2,0.018251624,0.0003,-0.00015985965728759766,40,1.3561675548553467,8.066852569580078,-6.757371747493744,0.0014571023144526406,0.0851318359375,23.903658825159074
