rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/entropy_loss,train/std
14.14,4096,1,10,387,7.390894889831543,,,,,,,,,,,
15.14,8192,2,9,837,8.07335090637207,60,-0.007907804666319861,0.019511547,0.001,2.7368254438973962,0.231753408908844,0.5399596691131592,0.183056640625,0.2,-6.861977341026067,1.3607003688812256
16.29,12288,3,9,1279,8.7470064163208,70,-0.013076114282011986,0.01981058,0.001,3.532754111569375,0.842369556427002,0.5003670752048492,0.1957763671875,0.2,-7.0435129009187225,1.4231239557266235
21.58,16384,4,9,1708,12.031970024108887,80,-0.010254952165996655,0.016105406,0.001,4.645214666053652,1.3786088228225708,0.4400140047073364,0.1599365234375,0.2,-7.191969258338213,1.4736719131469727
20.06,20480,5,9,2149,11.174729347229004,90,-0.0059174296955461616,0.015740607,0.001,6.553976630233228,1.593254566192627,0.3692833185195923,0.15068359375,0.2,-7.322113686800003,1.5220955610275269
