time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/std,train/clip_fraction,train/n_updates,train/entropy_loss,train/value_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/loss,train/clip_range
1,8.94,4.318282127380371,4096,9,429,,,,,,,,,,,
2,10.21,5.144172191619873,8192,9,902,1.045828104019165,0.121923828125,10,-5.8330290272831915,1.1215443681692705,-0.012846231460571289,0.01303393,-0.0023001294321147725,0.001,0.3778277039527893,0.2
3,9.82,4.888437271118164,12288,8,1373,1.1123976707458496,0.180224609375,20,-6.050789652764797,1.175872105313465,0.647299587726593,0.020558763,-0.00715406480449019,0.001,0.013301283121109009,0.2
4,11.79,6.135252475738525,16384,8,1831,1.1762194633483887,0.1671630859375,30,-6.287624414265156,1.4425948358373717,0.6138565540313721,0.019642096,-0.005657230893848464,0.001,1.2980014085769653,0.2
5,12.01,6.193443775177002,20480,8,2293,1.225179672241211,0.146142578125,40,-6.4587453484535216,1.7942101099528371,0.596274346113205,0.016358621,-0.006333387998165563,0.001,0.1736217737197876,0.2
