index,first,second,third,fourth
0,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
1,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
2,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
3,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
4,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
5,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
6,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
7,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
8,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
9,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
10,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
11,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
12,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
13,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
14,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
15,-0.7663192375732644,-0.23911775699245855,0.09904571521302961,0.5880199577514065
16,-0.7663192375732644,-0.23911775699245855,0.09904571521302957,0.5880199577514065
17,-0.7663192375732644,-0.23911775699245857,0.09904571521302956,0.5880199577514065
18,-0.7663192375732644,-0.23911775699245857,0.09904571521302952,0.5880199577514065
19,-0.7663192375732644,-0.23911775699245857,0.0990457152130295,0.5880199577514065
20,-0.7663192375732644,-0.23911775699245863,0.09904571521302942,0.5880199577514065
21,-0.7663192375732644,-0.23911775699245869,0.09904571521302938,0.5880199577514065
22,-0.7663192375732644,-0.23911775699245869,0.09904571521302932,0.5880199577514065
23,-0.7663192375732644,-0.23911775699245869,0.0990457152130293,0.5880199577514065
24,-0.7663192375732644,-0.23911775699245869,0.09904571521302928,0.5880199577514065
25,-0.7663192375732644,-0.2391177569924587,0.09904571521302928,0.5880199577514065
26,-0.7663192375732644,-0.23911775699245877,0.09904571521302924,0.5880199577514065
27,-0.7527002129526582,-0.2368130230783168,0.09951879708428618,0.6061831328471852
28,-0.738627402274167,-0.23457043549812753,0.1000868202819664,0.6240103362972284
29,-0.7241009705688962,-0.23241077748554395,0.10072401636855624,0.6414964438376367
30,-0.7091299355056873,-0.23033476911000964,0.10143031326975582,0.6586292737638813
