rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/std,train/learning_rate,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_loss,train/n_updates
8.571428571428571,1,1,-1.5602033138275146,128,81,,,,,,,
8.793103448275861,1,2,-1.6020305156707764,256,153,1.0012062788009644,0.001,-0.430800199508667,-22.70301628112793,0.8163461089134216,-14.948837280273438,1
8.173913043478262,1,3,-1.4736515283584595,384,241,0.9994996786117554,0.001,-0.3061486482620239,-22.721553802490234,0.36974677443504333,-3.0181665420532227,2
8.0,1,4,-1.4348645210266113,512,320,0.9996570348739624,0.001,-0.11461234092712402,-22.693864822387695,0.5105822086334229,5.504800796508789,3
8.0,1,5,-1.430593490600586,640,397,1.0008786916732788,0.001,-0.3170546293258667,-22.69645881652832,0.33288338780403137,-0.9100425243377686,4
8.159574468085106,1,6,-1.4585535526275635,768,479,1.0005947351455688,0.001,-0.10725712776184082,-22.715608596801758,0.30519023537635803,-4.010990619659424,5
7.85,1,7,-1.3994250297546387,896,562,1.0002802610397339,0.001,-0.012726902961730957,-22.71080207824707,0.2580862045288086,1.934140920639038,6
7.45,1,8,-1.3163222074508667,1024,642,0.9995031356811523,0.001,-0.29400014877319336,-22.70510482788086,0.27027231454849243,1.1428872346878052,7
7.31,1,9,-1.2910809516906738,1152,723,0.9997357726097107,0.001,-0.1208871603012085,-22.69277572631836,0.22164975106716156,-0.015828192234039307,8
7.39,1,10,-1.3005366325378418,1280,802,1.0002405643463135,0.001,-0.18921005725860596,-22.696428298950195,0.30344605445861816,-2.8048315048217773,9
7.18,1,11,-1.2480467557907104,1408,884,0.9995551109313965,0.001,-0.34760594367980957,-22.704345703125,0.302333265542984,2.131239652633667,10
6.99,1,12,-1.2222598791122437,1536,963,0.998969554901123,0.001,-0.07956290245056152,-22.69332504272461,0.2178693562746048,-2.3017685413360596,11
7.0,1,13,-1.2109019756317139,1664,1054,0.9992930889129639,0.001,-0.10596239566802979,-22.683992385864258,0.2634212374687195,-1.2389928102493286,12
7.04,1,14,-1.2207186222076416,1792,1132,0.9990655183792114,0.001,-0.0035636425018310547,-22.68852424621582,0.26314878463745117,4.336304187774658,13
7.18,1,15,-1.2436825037002563,1920,1209,0.9999532699584961,0.001,0.03507816791534424,-22.685043334960938,0.3092183768749237,-6.419649124145508,14
7.07,1,16,-1.2358680963516235,2048,1297,1.001636028289795,0.001,-0.11005651950836182,-22.699094772338867,0.2687144875526428,1.0933901071548462,15
6.76,1,17,-1.175638198852539,2176,1383,1.001522183418274,0.001,-0.03016650676727295,-22.726072311401367,0.2045828104019165,1.1820526123046875,16
6.82,1,18,-1.202987551689148,2304,1467,1.0016520023345947,0.001,-0.0633702278137207,-22.724199295043945,0.24070659279823303,-1.5747572183609009,17
